FIPS Code,State,County Name,"Population Estimate, 2007","Population Estimate, 2008","Population Estimate, 2009",2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012"
1001,AL,Autauga,49834,50354,50756,54571,55267,55514
1003,AL,Baldwin,172815,176212,179878,182265,186717,190790
1005,AL,Barbour,29736,29836,29737,27457,27119,27201
1007,AL,Bibb,21485,21589,21587,22915,22766,22597
1009,AL,Blount,56866,57794,58345,57322,57677,57826
1011,AL,Bullock,10966,10921,10985,10914,10542,10474
1013,AL,Butler,20243,20171,19964,20947,20650,20307
1015,AL,Calhoun,112808,113422,114081,118572,117797,117296
1017,AL,Chambers,34731,34473,34320,34215,33939,34064
1019,AL,Cherokee,24474,24413,24448,25989,26057,26021
1021,AL,Chilton,42362,42696,42971,43643,43895,43819
1023,AL,Choctaw,14178,14083,13990,13859,13609,13633
1025,AL,Clarke,26416,26264,26042,25833,25695,25161
1027,AL,Clay,13772,13807,13640,13932,13862,13435
1029,AL,Cleburne,14692,14736,14759,14972,14835,14832
1031,AL,Coffee,46806,47773,48635,49948,50526,51252
1033,AL,Colbert,54606,54626,54639,54428,54512,54446
1035,AL,Conecuh,13118,13038,12931,13228,13105,12981
1037,AL,Coosa,10783,10724,10556,11539,10713,10966
1039,AL,Covington,36804,36646,36678,37765,38058,37955
1041,AL,Crenshaw,13741,13686,13781,13906,13911,14083
1043,AL,Cullman,80602,81518,81778,80406,80536,80440
1045,AL,Dale,48263,48400,48147,50251,50044,50444
1047,AL,Dallas,42780,42627,41925,43820,43332,42864
1049,AL,DeKalb,68275,68894,69380,71109,71375,71080
1051,AL,Elmore,77459,78125,79233,79303,80162,80629
1053,AL,Escambia,37623,37532,37434,38319,38095,37994
1055,AL,Etowah,103216,103435,103645,104430,104303,104392
1057,AL,Fayette,17538,17577,17371,17241,17182,16983
1059,AL,Franklin,30627,31051,31091,31704,31884,31761
1061,AL,Geneva,25717,25971,25961,26790,26781,26931
1063,AL,Greene,9100,9039,8829,9045,8921,8876
1065,AL,Hale,18091,18083,17975,15760,15421,15388
1067,AL,Henry,16653,16623,16647,17302,17412,17287
1069,AL,Houston,97392,98852,100085,101547,102369,103402
1071,AL,Jackson,52796,52934,52838,53227,53291,53019
1073,AL,Jefferson,661477,663394,665027,658466,658931,660009
1075,AL,Lamar,14484,14341,14200,14564,14311,14259
1077,AL,Lauderdale,88522,89200,89599,92709,92781,92542
1079,AL,Lawrence,34151,34047,34106,34339,34117,33838
1081,AL,Lee,130791,133105,135883,140247,143468,147257
1083,AL,Limestone,73909,76314,78572,82782,85369,87654
1085,AL,Lowndes,12664,12592,12293,11299,11147,10857
1087,AL,Macon,22258,22195,21789,21452,21182,20535
1089,AL,Madison,313796,320914,327744,334811,340111,343080
1091,AL,Marengo,21265,21100,20943,21027,20692,20401
1093,AL,Marion,29501,29378,29116,30776,30663,30327
1095,AL,Marshall,87970,89200,90399,93019,94166,94776
1097,AL,Mobile,405234,409132,411721,412992,412577,413936
1099,AL,Monroe,22759,22648,22389,23068,22760,22602
1101,AL,Montgomery,225648,224525,224119,229363,232032,230149
1103,AL,Morgan,115148,116297,117293,119490,119953,120395
1105,AL,Perry,10726,10753,10623,10591,10373,10181
1107,AL,Pickens,19503,19385,19218,19746,19349,19405
1109,AL,Pike,30186,30371,30461,32899,32915,33182
1111,AL,Randolph,22389,22620,22577,22913,22787,22675
1113,AL,Russell,50227,50285,50846,52947,54572,57820
1115,AL,St. Clair,78515,80287,81895,83593,84398,85237
1117,AL,Shelby,183478,188483,192503,195085,197936,200941
1119,AL,Sumter,13269,13102,12853,13763,13478,13427
1121,AL,Talladega,80186,80495,80242,82291,81664,81762
1123,AL,Tallapoosa,40797,40920,41008,41616,41623,41168
1125,AL,Tuscaloosa,178998,181780,184035,194656,197211,198596
1127,AL,Walker,68655,68903,68742,67023,66661,66221
1129,AL,Washington,17124,17088,17069,17581,17344,17109
1131,AL,Wilcox,12580,12617,12384,11670,11482,11431
1133,AL,Winston,24326,24068,23997,24484,24327,24108
2013,AK,Aleutians East,2818,2724,2744,3141,3172,3161
2016,AK,Aleutians West,4763,4604,4659,5561,5504,5547
2020,AK,Anchorage,278504,280471,286174,291826,295570,298610
2050,AK,Bethel,17100,17215,17352,17013,17416,17746
2060,AK,Bristol Bay,997,956,881,997,1030,991
2068,AK,Denali,1805,1821,1851,1826,1855,1875
2070,AK,Dillingham,4963,4926,4957,4847,4975,5034
2090,AK,Fairbanks North Star,97952,98351,98660,97581,99192,100272
2100,AK,Haines,2315,2327,2399,2508,2554,2552
2105,AK,Hoonah-Angoon,2203,2182,2127,2150,2112,2129
2110,AK,Juneau,30544,30991,30796,31275,32164,32556
2122,AK,Kenai Peninsula,53238,53651,54665,55400,56293,56900
2130,AK,Ketchikan Gateway,13124,13081,13005,13477,13593,13779
2150,AK,Kodiak Island,13074,13170,13346,13592,13872,14239
2164,AK,Lake and Peninsula,1525,1494,1485,1631,1668,1654
2170,AK,Matanuska-Susitna,82404,85319,88379,88995,91946,93925
2180,AK,Nome,9310,9326,9391,9492,9856,9915
2185,AK,North Slope,6630,6725,6752,9430,9503,9643
2188,AK,Northwest Arctic,7425,7467,7444,7523,7733,7810
2195,AK,Petersburg,3888,3816,3773,3815,3838,3844
2198,AK,Prince of Wales-Hyder,5531,5535,5560,5559,5737,5751
2220,AK,Sitka,8728,8711,8747,8881,8952,9046
2230,AK,Skagway,902,905,920,968,935,959
2240,AK,Southeast Fairbanks,6855,6824,6892,7029,7132,7144
2261,AK,Valdez-Cordova,9462,9332,9324,9636,9770,9717
2270,AK,Wade Hampton,7583,7654,7731,7459,7662,7809
2275,AK,Wrangell,2168,2185,2147,2369,2382,2403
2282,AK,Yakutat,675,650,685,662,646,668
