Category Name,Category Code,Variable Name,Variable Code,Geography,Units
Access and Proximity to Grocery Store,ACCESS,"Population, low access to store, 2010",LACCESS_POP10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,"Population, low access to store (%), 2010",PCT_LACCESS_POP10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,"Low income & low access to store, 2010",LACCESS_LOWI10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,"Low income & low access to store (%), 2010",PCT_LACCESS_LOWI10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,"Children, low access to store, 2010",LACCESS_CHILD10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,"Children, low access to store (%), 2010",PCT_LACCESS_CHILD10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,"Seniors, low access to store, 2010",LACCESS_SENIORS10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,"Seniors, low access to store (%), 2010",PCT_LACCESS_SENIORS10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,"Households, no car & low access to store, 2010",LACCESS_HHNV10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,"Households, no car & low access to store (%), 2010",PCT_LACCESS_HHNV10,CNTY10,Percent
Store Availability,STORES,"Grocery stores, 2007",GROC07,CNTY10,Count
Store Availability,STORES,"Grocery stores, 2011",GROC11,CNTY10,Count
Store Availability,STORES,"Grocery stores (% change), 2007-11",PCH_GROC_07_11,CNTY10,% change 
Store Availability,STORES,"Grocery stores/1,000 pop, 2007",GROCPTH07,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"Grocery stores/1,000 pop, 2011",GROCPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"Grocery stores/1,000 pop (% change), 2007-11",PCH_GROCPTH_07_11,CNTY10,% change 
Store Availability,STORES,"Supercenters & club stores, 2007",SUPERC07,CNTY10,Count
Store Availability,STORES,"Supercenters & club stores, 2011",SUPERC11,CNTY10,Count
Store Availability,STORES,"Supercenters & club stores (% change), 2007-11",PCH_SUPERC_07_11,CNTY10,% change 
Store Availability,STORES,"Supercenters & club stores/1,000 pop, 2007",SUPERCPTH07,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"Supercenters & club stores/1,000 pop, 2011",SUPERCPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"Supercenters & club stores/1,000 pop (% change), 2007-11",PCH_SUPERCPTH_07_11,CNTY10,% change 
Store Availability,STORES,"Convenience stores, 2007",CONVS07,CNTY10,Count
Store Availability,STORES,"Convenience stores, 2011",CONVS11,CNTY10,Count
Store Availability,STORES,"Convenience stores (% change), 2007-11",PCH_CONVS_07_11,CNTY10,% change 
Store Availability,STORES,"Convenience stores/1,000 pop, 2007",CONVSPTH07,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"Convenience stores/1,000 pop, 2011",CONVSPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"Convenience stores/1,000 pop (% change), 2007-11",PCH_CONVSPTH_07_11,CNTY10,% change 
Store Availability,STORES,"Specialized food stores, 2007",SPECS07,CNTY10,Count
Store Availability,STORES,"Specialized food stores, 2011",SPECS11,CNTY10,Count
Store Availability,STORES,"Specialized food stores (% change), 2007-11",PCH_SPECS_07_11,CNTY10,% change 
Store Availability,STORES,"Specialized food stores/1,000 pop, 2007",SPECSPTH07,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"Specialized food stores/1,000 pop, 2011",SPECSPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"Specialized food stores/1,000 pop (% change), 2007-11",PCH_SPECSPTH_07_11,CNTY10,% change 
Store Availability,STORES,"SNAP-authorized stores, 2008",SNAPS08,CNTY10,Count
Store Availability,STORES,"SNAP-authorized stores, 2012",SNAPS12,CNTY10,Count
Store Availability,STORES,"SNAP-authorized stores (% change), 2008-12",PCH_SNAPS_08_12,CNTY10,% change 
Store Availability,STORES,"SNAP-authorized stores/1,000 pop, 2008",SNAPSPTH08,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"SNAP-authorized stores/1,000 pop, 2012",SNAPSPTH12,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"SNAP-authorized stores/1,000 pop (% change), 2008-12",PCH_SNAPSPTH_08_12,CNTY10,% change 
Store Availability,STORES,"WIC-authorized stores, 2008",WICS08,CNTY10,Count
Store Availability,STORES,"WIC-authorized stores, 2012",WICS12,CNTY10,Count
Store Availability,STORES,"WIC-authorized stores (% change), 2008-12",PCH_WICS_08_12,CNTY10,% change 
Store Availability,STORES,"WIC-authorized stores/1,000 pop, 2008",WICSPTH08,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"WIC-authorized stores/1,000 pop, 2012",WICSPTH12,CNTY10,"# per 1,000 pop"
Store Availability,STORES,"WIC-authorized stores/1,000 pop (% change), 2008-12",PCH_WICSPTH_08_12,CNTY10,% change 
